,market,name,region,subregion,languages_dict,languages
0,AFG,Afghanistan,Asia,Southern Asia,"[{'iso639_1': 'ps', 'iso639_2': 'pus', 'name': 'Pashto', 'nativeName': 'پښتو'}, {'iso639_1': 'uz', 'iso639_2': 'uzb', 'name': 'Uzbek', 'nativeName': 'Oʻzbek'}, {'iso639_1': 'tk', 'iso639_2': 'tuk', 'name': 'Turkmen', 'nativeName': 'Türkmen'}]",Pashto;Uzbek;Turkmen
1,ALA,Åland Islands,Europe,Northern Europe,"[{'iso639_1': 'sv', 'iso639_2': 'swe', 'name': 'Swedish', 'nativeName': 'svenska'}]",Swedish
2,ALB,Albania,Europe,Southern Europe,"[{'iso639_1': 'sq', 'iso639_2': 'sqi', 'name': 'Albanian', 'nativeName': 'Shqip'}]",Albanian
3,DZA,Algeria,Africa,Northern Africa,"[{'iso639_1': 'ar', 'iso639_2': 'ara', 'name': 'Arabic', 'nativeName': 'العربية'}]",Arabic
4,ASM,American Samoa,Oceania,Polynesia,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}, {'iso639_1': 'sm', 'iso639_2': 'smo', 'name': 'Samoan', 'nativeName': ""gagana fa'a Samoa""}]",English;Samoan
5,AND,Andorra,Europe,Southern Europe,"[{'iso639_1': 'ca', 'iso639_2': 'cat', 'name': 'Catalan', 'nativeName': 'català'}]",Catalan
6,AGO,Angola,Africa,Middle Africa,"[{'iso639_1': 'pt', 'iso639_2': 'por', 'name': 'Portuguese', 'nativeName': 'Português'}]",Portuguese
7,AIA,Anguilla,Americas,Caribbean,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
8,ATA,Antarctica,Polar,Antarctica,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}, {'iso639_1': 'ru', 'iso639_2': 'rus', 'name': 'Russian', 'nativeName': 'Русский'}]",English;Russian
9,ATG,Antigua and Barbuda,Americas,Caribbean,"[{'iso639_1': 'en', 'iso639_2': 'eng', 'name': 'English', 'nativeName': 'English'}]",English
10,ARG,Argentina,Americas,South America,"[{'iso639_1': 'es', 'iso639_2': 'spa', 'name': 'Spanish', 'nativeName': 'Español'}, {'iso639_1': 'gn', 'iso639_2': 'grn', 'name': 'Guaraní', 'nativeName': ""Avañe'ẽ""}]",Spanish;Guaraní
11,ARM,Armenia,Asia,Western Asia,"[{'iso639_1': 'hy', 'iso639_2': 'hye', 'name': 'Armenian', 'nativeName': 'Հայերեն'}]",Armenian
