section;chapter;description
section_i;1;Live animals.
section_i;2;Meat and edible meat offal.
section_i;3;Fish and crustaceans, molluscs and other aquatic invertebrates.
section_i;4;Dairy produce, birds' eggs, natural honey, edible products of animal origin, not elsewhere specified or included.
section_i;5;Products of animal origin, not elsewhere specified or included.
section_ii;6;Live trees and other plants, bulbs, roots and the like, cut flowers and ornamental foliage.
section_ii;7;Edible vegetables and certain roots and tubers.
section_ii;8;Edible fruit and nuts, peel of citrus fruit or melons.
section_ii;9;Coffee, tea, maté and spices.
section_ii;10;Cereals.
section_ii;11;Products of the milling industry, malt, starches, inulin, wheat gluten.
section_ii;12;Oil seeds and oleaginous fruits, miscellaneous grains, seeds and fruit, industrial or medicinal plants, straw and fodder.
section_ii;13;Lac, gums, resins and other vegetable saps and extracts.
section_ii;14;Vegetable plaiting materials, vegetable products not elsewhere specified or included.
section_iii;15;Animal or vegetable fats and oils and their cleavage products, prepared edible fats, animal or vegetable waxes.
section_iv;16;Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates.
section_iv;17;Sugars and sugar confectionery.
section_iv;18;Cocoa and cocoa preparations.
section_iv;19;Preparations of cereals, flour, starch or milk, pastrycooks' products.
section_iv;20;Preparations of vegetables, fruit, nuts or other parts of plants.
section_iv;21;Miscellaneous edible preparations.
section_iv;22;Beverages, spirits and vinegar.
section_iv;23;Residues and waste from the food industries, prepared animal fodder.
section_iv;24;Tobacco and manufactured tobacco substitutes.
section_v;25;Salt, sulphur, earths and stone, plastering materials, lime and cement.
section_v;26;Ores, slag and ash.
section_v;27;Mineral fuels, mineral oils and products of their distillation, bituminous substances, mineral waxes.
section_vi;28;Inorganic chemicals, organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes.
section_vi;29;Organic chemicals.
section_vi;30;Pharmaceutical products.
section_vi;31;Fertilisers.
section_vi;32;Tanning or dyeing extracts, tannins and their derivatives, dyes, pigments and other colouring matter, paints and varnishes, putty and other mastics, inks.
section_vi;33;Essential oils and resinoids, perfumery, cosmetic or toilet preparations.
section_vi;34;Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial waxes, prepared waxes, polishing or scouring preparations, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster.
section_vi;35;Albuminoidal substances, modified starches, glues, enzymes.
section_vi;36;Explosives, pyrotechnic products, matches, pyrophoric alloys, certain combustible preparations.
section_vi;37;Photographic or cinematographic goods.
section_vi;38;Miscellaneous chemical products. 
section_vii;39;Plastics and articles thereof.
section_vii;40;Rubber and articles thereof.
section_viii;41;Raw hides and skins (other than furskins) and leather.
section_viii;42;Articles of leather, saddlery and harness, travel goods, handbags and similar containers, articles of animal gut (other than silk-worm gut).
section_viii;43;Furskins and artificial fur, manufactures thereof. 
section_ix;44;Wood and articles of wood, wood charcoal.
section_ix;45;Cork and articles of cork.
section_ix;46;Manufactures of straw, of esparto or of other plaiting materials, basketware and wickerwork.
section_x;47;Pulp of wood or of other fibrous cellulosic material, recovered (waste and scrap) paper or paperboard.
section_x;48;Paper and paperboard, articles of paper pulp, of paper or of paperboard.
section_x;49;Printed books, newspapers, pictures and other products of the printing industry, manuscripts, typescripts and plans.
section_xi;50;Silk.
section_xi;51;Wool, fine or coarse animal hair, horsehair yarn and woven fabric.
section_xi;52;Cotton.
section_xi;53;Other vegetable textile fibres, paper yarn and woven fabrics of paper yarn.
